Ciudad,via,tipo radar,km,direccion
,CV-70,Radar Móvil,48.790-49.300,49.300
,CV-725,Radar Móvil,4.480-8.130,8.130
,CV-734,Radar Fijo,6.05,Creciente
,CV-767,Radar Móvil,1.040-5.460,5.460
,CV-807,Radar Móvil,0.000-7.080,7.080
,CV-809,Radar Móvil,0.000-5.350,5.350
,CV-81,Radar Móvil,21.050-41.150,41.150
,CV-81,Radar Móvil,41.110-57.000,57.000
,CV-820,Radar Móvil,0.000-8.890,8.890
,CV-83,Radar Fijo,7.05,Decreciente
,CV-84,Radar Móvil,0.000-6.290,6.290
,CV-855,Radar Móvil,7.180-9.540,9.540
,CV-865,Radar Móvil,0.120-8.760,8.760
,CV-865,Radar Móvil,8.760-11.740,11.740
,CV-900,Radar Móvil,0.000-13.260,13.260
,CV-904,Radar Móvil,0.000-6.540,6.540
,CV-91,Radar Fijo,18.888,Decreciente
,CV-91,Radar Móvil,12.560-18.430,18.430
,CV-91,Radar Fijo,15.3,Creciente
,CV-95,Radar Móvil,0.000-22.840,22.840
,N-325,Radar Móvil,6.510-8.170,8.170
,N-332,Radar Fijo,54,Creciente
,N-332,Radar Fijo,46.875,Creciente
,N-332,Radar Fijo,46.925,Decreciente
,N-332,Radar Fijo,91.047,Creciente
,N-332,Radar Fijo,140.998,Decreciente
,N-332,Radar Fijo,141.002,Creciente
,N-332,Radar Fijo,149.775,Decreciente
,N-332,Radar Fijo,151.675,Creciente
,N-332,Radar Fijo,171.565,Decreciente
,N-332,Radar Móvil,116.690-134.000,134.000
,N-332,Radar Fijo,130.9,Decreciente
,N-332,Radar Móvil,134.000-143.440,143.440
,N-332,Radar Móvil,143.440-147.800,147.800
,N-332,Radar Móvil,147.800-204.540,204.540
,N-332,Radar Fijo,173.2,Creciente
,N-332,Radar Fijo,203.2,Creciente
,N-332,Radar Fijo,204.45,Decreciente
,N-332,Radar Móvil,38.760-42.260,42.260
,N-332,Radar Móvil,42.260-53.890,53.890
,N-332,Radar Móvil,53.890-54.390,54.390
,N-332,Radar Fijo,56.25,Decreciente
,N-332,Radar Fijo,70.95,Creciente
,N-332,Radar Fijo,86.05,Creciente
,N-332,Radar Móvil,97.930-116.210,116.210
,N-338,Radar Móvil,0.000-3.930,3.930
,N-338,Radar Móvil,3.930-5.150,5.150
,N-340,Radar Fijo,687.596,Creciente
,N-340,Radar Fijo,694.795,Decreciente
,N-340,Radar Móvil,678.870-708.340,708.340
,N-340,Radar Móvil,722.240-731.040,731.040
,A-1050,Radar Móvil,0.000-12.080,12.080
,A-1101,Radar Móvil,0.000-25.690,25.690
,A-1201,Radar Móvil,3.860-12.560,12.560
,A-332,Radar Móvil,0.000-20.010,20.010
,A-334,Radar Móvil,17.730-56.910,56.910
,A-334,Radar Fijo,49.87,Creciente
,A-334,Radar Móvil,64.630-84.870,84.870
,A-347,Radar Móvil,0.000-12.040,12.040
,A-348,Radar Móvil,90.320-134.360,134.360
,A-349,Radar Móvil,0.000-47.360,47.360
,A-352,Radar Fijo,7.05,Creciente
,A-358,Radar Móvil,0.000-18.570,18.570
,A-358,Radar Fijo,5.15,Creciente
,A-370,Radar Móvil,0.000-12.620,12.620
,A-7,Radar Fijo,468.728,Decreciente
,A-7,Radar Fijo,404.45,Creciente
,A-7,Radar Fijo,450.93,Creciente
,A-92,Radar Fijo,391.86,Creciente
,AL-3104,Radar Móvil,0.000-6.000,6.000
,AL-3108,Radar Móvil,0.000-14.780,14.780
,AL-3108,Radar Móvil,14.780-22.450,22.450
,AL-3111,Radar Móvil,0.370-12.080,12.080
,AL-3111,Radar Fijo,8.99,Creciente
,AL-3115,Radar Móvil,0.000-8.360,8.360
,AL-3115,Radar Fijo,3.41,Creciente
,AL-3117,Radar Móvil,0.000-12.200,12.200
,AL-3201,Radar Móvil,0.000-7.570,7.570
,AL-3202,Radar Móvil,0.000-4.480,4.480
,AL-3202,Radar Móvil,2.510-2.550,2.550
,AL-3302,Radar Móvil,0.000-4.620,4.620
,AL-3303,Radar Móvil,0.000-6.200,6.200
,AL-3401,Radar Móvil,0.000-4.450,4.450
,AL-4300,Radar Móvil,0.000-6.800,6.800
,N-340a,Radar Móvil,383.900-400.650,400.650
,N-340a,Radar Móvil,400.650-401.810,401.810
,N-340a,Radar Móvil,431.800-438.300,438.300
,N-340a,Radar Móvil,464.000-511.560,511.560
,N-340a,Radar Fijo,471.85,Decreciente
,N-340a,Radar Móvil,511.560-523.720,523.720
,N-341,Radar Móvil,0.000-18.400,18.400
,N-341,Radar Fijo,8.46,Creciente
,N-347,Radar Móvil,0.000-3.930,3.930
,A-64,Radar Fijo,6.45,Creciente
,A-64,Radar Fijo,8.7,Decreciente
,A-66,Radar Fijo,21.444,Creciente
,A-66,Radar Fijo,13.4,Decreciente
,A-66,Radar Fijo,14.31,Creciente
,A-66,Radar Fijo,24.43,Creciente
,A-66,Radar Fijo,29.04,Decreciente
,A-66,Radar Fijo,35.28,Decreciente
,A-8,Radar Fijo,385.245,Decreciente
,A-8,Radar Fijo,354.96,Creciente
,A-8,Radar Fijo,355.88,Decreciente
,A-8,Radar Fijo,362.6,Creciente
,A-8,Radar Fijo,366.92,Decreciente
,A-8,Radar Fijo,371.2,Creciente
,A-8,Radar Fijo,372.65,Decreciente
,A-8,Radar Fijo,386.14,Creciente
,A-8,Radar Fijo,396.05,Creciente
,A-8,Radar Fijo,396.5,Decreciente
,A-8,Radar Tramo,505.05(1.082m),m)
,AP-66,Radar Fijo,66.755,Decreciente
,AS-110,Radar Móvil,1.500-9.670,9.670
,AS-112,Radar Móvil,0.000-16.770,16.770
,AS-114,Radar Móvil,0.000-20.200,20.200
,AS-115,Radar Móvil,0.000-14.100,14.100
,AS-117,Radar Móvil,3.890-22.530,22.530
,AS-118,Radar Móvil,5.170-11.070,11.070
,AS-14,Radar Móvil,0.000-58.000,58.000
,AS-15,Radar Móvil,0.000-9.240,9.240
,AS-15,Radar Móvil,35.460-58.200,58.200
,AS-15,Radar Móvil,9.230-35.460,35.460
,AS-16,Radar Móvil,0.000-17.500,17.500
,AS-16,Radar Fijo,9.5,Creciente
,AS-17,Radar Fijo,22.615,Creciente
,AS-17,Radar Móvil,4.000-19.380,19.380
,AS-19,Radar Móvil,0.130-16.700,16.700
,AS-237,Radar Móvil,0.000-26.130,26.130
,AS-246,Radar Móvil,0.000-33.110,33.110
,AS-248,Radar Móvil,0.000-19.580,19.580
,AS-253,Radar Móvil,0.000-26.420,26.420
,AS-266,Radar Móvil,4.526-18.710,18.710
,GJ-81,Radar Fijo,2.025,Decreciente
,N-625,Radar Móvil,130.780-162.100,162.100
,N-630,Radar Móvil,33.240-48.090,48.090
,N-630,Radar Móvil,67.210-87.080,87.080
,N-632,Radar Móvil,0.000-42.770,42.770
,N-632,Radar Fijo,100.4,Creciente
,N-632,Radar Móvil,42.750-71.600,71.600
,N-632,Radar Móvil,96.000-160.000,160.000
,N-632,Radar Fijo,98.75,Decreciente
,N-634,Radar Móvil,326.910-340.000,340.000
,N-634,Radar Móvil,340.000-361.710,361.710
,N-634,Radar Móvil,361.710-382.160,382.160
,N-634,Radar Móvil,382.152-400.769,400.769
,N-634,Radar Móvil,495.140-525.030,525.030
,N-640,Radar Móvil,0.170-11.920,11.920
,AP-6,Radar Fijo,106.97,Creciente
,AP-6,Radar Fijo,108.63,Decreciente
,AV-500,Radar Móvil,0.000-22.230,22.230
,AV-502,Radar Móvil,0.000-19.250,19.250
,AV-800,Radar Móvil,0.000-26.140,26.140
,AV-804,Radar Móvil,21.070-44.920,44.920
,AV-902,Radar Móvil,0.000-20.710,20.710
,AV-905,Radar Móvil,0.000-35.880,35.880
,CL-501,Radar Móvil,10.490-60.640,60.640
,CL-501,Radar Fijo,18.8,Creciente
,CL-501,Radar Móvil,60.640-91.740,91.740
,CL-505,Radar Móvil,1.080-42.020,42.020
,CL-505,Radar Fijo,29.46,Creciente
,CL-507,Radar Móvil,5.750-26.240,26.240
,CL-510,Radar Móvil,44.440-63.300,63.300
,CL-605,Radar Móvil,53.940-82.240,82.240
,CL-605,Radar Móvil,82.240-93.800,93.800
,CL-610,Radar Móvil,64.700-70.550,70.550
,CL-610,Radar Móvil,70.550-83.080,83.080
,N-110,Radar Fijo,260,Creciente
,N-110,Radar Móvil,230.960-239.270,239.270
,N-110,Radar Móvil,240.690-244.320,244.320
,N-110,Radar Móvil,259.000-262.600,262.600
,N-110,Radar Móvil,262.600-352.040,352.040
,N-403,Radar Tramo,113.16(4.469m),m)
,N-403,Radar Tramo,118.05(4.472m),m)
,N-403,Radar Móvil,131.760-132.650,132.650
,N-403,Radar Móvil,140.600-165.070,165.070
,N-403,Radar Móvil,82.970-127.470,127.470
,N-403,Radar Fijo,89.4,Creciente
,N-501,Radar Móvil,34.490-48.640,48.640
,N-501,Radar Móvil,5.630-24.150,24.150
,N-502,Radar Móvil,6.210-78.410,78.410
,N-601,Radar Móvil,108.490-109.700,109.700
,N-601,Radar Móvil,109.700-111.630,111.630
,N-VI,Radar Móvil,108.390-110.100,110.100
,N-VI,Radar Móvil,89.900-93.730,93.730
,N-VI,Radar Móvil,97.690-103.760,103.760
,A-5,Radar Fijo,366.765,Decreciente
,A-5,Radar Fijo,332.72,Creciente
,A-5,Radar Fijo,379.02,Creciente
,A-66,Radar Fijo,657.523,Creciente
,A-66,Radar Fijo,685.926,Decreciente
,BA-100,Radar Móvil,0.340-17.070,17.070
,BA-154,Radar Móvil,0.000-4.220,4.220
,EX-100,Radar Móvil,37.040-80.570,80.570
,EX-101,Radar Móvil,5.640-15.360,15.360
,EX-103,Radar Móvil,22.310-54.780,54.780
,EX-104,Radar Móvil,36.980-78.540,78.540
,EX-105,Radar Móvil,0.000-53.000,53.000
,EX-105,Radar Móvil,68.500-92.320,92.320
,EX-105,Radar Móvil,95.190-111.700,111.700
,EX-107,Radar Móvil,1.210-24.050,24.050
,EX-110,Radar Móvil,9.400-69.500,69.500
,EX-112,Radar Móvil,29.840-71.410,71.410
,EX-114,Radar Móvil,0.000-8.970,8.970
,EX-202,Radar Móvil,33.410-34.170,34.170
,EX-206,Radar Fijo,92.315,Decreciente
,EX-206,Radar Móvil,97.420-102.100,102.100
,EX-211,Radar Móvil,0.000-16.260,16.260
,EX-300,Radar Móvil,24.410-30.920,30.920
,EX-307,Radar Móvil,9.090-12.780,12.780
,EX-310,Radar Móvil,0.420-23.240,23.240
,EX-313,Radar Móvil,0.000-19.300,19.300
,EX-334,Radar Móvil,2.370-26.910,26.910
,EX-342,Radar Móvil,8.280-9.990,9.990
,EX-A2-R1,Radar Móvil,0.000-4.010,4.010
,N-430,Radar Fijo,113.174,Creciente
,N-430,Radar Móvil,140.610-167.210,167.210
,N-432,Radar Fijo,111.654,Creciente
,N-432,Radar Fijo,142.454,Decreciente
,N-432,Radar Móvil,1.690-19.570,19.570
,N-432,Radar Fijo,33.31,Decreciente
,N-432,Radar Móvil,41.570-72.180,72.180
,N-432,Radar Tramo,80.98(14.708m),m)
,N-432,Radar Tramo,95.49(14.708m),m)
,N-435,Radar Fijo,68.048,Creciente
,N-435,Radar Móvil,35.880-70.780,70.780
,N-435a,Radar Móvil,32.830-35.780,35.780
,N-630,Radar Fijo,636.158,Decreciente
,N-630,Radar Móvil,653.380-669.050,669.050
,N-630,Radar Móvil,669.050-677.540,677.540
,C-731,Radar Móvil,1.570-13.600,13.600
,C-733,Radar Móvil,2.310-28.620,28.620
,EI-100,Radar Fijo,1.73,Creciente
,EI-200,Radar Fijo,8.14,Creciente
,EI-30,Radar Fijo,0.076,Decreciente
,EI-300,Radar Fijo,5.432,Decreciente
,EI-600,Radar Fijo,7.957,Decreciente
,EI-600,Radar Fijo,9.635,Creciente
,EI-700,Radar Fijo,15.568,Decreciente
,EI-700,Radar Fijo,7.01,Creciente
,Ma-1,Radar Fijo,23,Decreciente
,Ma-1,Radar Fijo,15.5,Creciente
,Ma-1,Radar Fijo,15.92,Decreciente
,Ma-10,Radar Móvil,0.080-111.100,111.100
,Ma-1015,Radar Móvil,0.000-9.600,9.600
,Ma-11,Radar Móvil,16.870-34.500,34.500
,Ma-11,Radar Móvil,4.500-16.910,16.910
,Ma-12,Radar Fijo,24.109,Decreciente
,Ma-12,Radar Móvil,0.000-31.180,31.180
,Ma-13,Radar Fijo,8.987,Decreciente
,Ma-13,Radar Fijo,16.139,Creciente
,Ma-13,Radar Fijo,46.371,Creciente
,Ma-13,Radar Móvil,39.770-50.500,50.500
,Ma-13A,Radar Móvil,3.000-32.000,32.000
,Ma-14,Radar Fijo,19.293,Decreciente
,Ma-14,Radar Móvil,0.380-28.430,28.430
,Ma-15,Radar Fijo,52.511,Creciente
,Ma-19,Radar Fijo,8.926,Creciente
,Ma-19,Radar Fijo,30.125,Decreciente
,Ma-19,Radar Móvil,27.300-27.430,27.430
,Ma-19A,Radar Móvil,8.300-26.480,26.480
,Ma-2200,Radar Fijo,50.29,Decreciente
,Ma-3011,Radar Móvil,0.000-31.400,31.400
,Ma-3433,Radar Móvil,0.000-8.570,8.570
,Ma-4020,Radar Fijo,5.206,Creciente
,Ma-4020,Radar Móvil,0.000-12.800,12.800
,Ma-4023,Radar Móvil,4.120-8.150,8.150
,Ma-5020,Radar Móvil,0.000-11.310,11.310
,Ma-5120,Radar Fijo,6.62,Creciente
,Ma-6012,Radar Móvil,0.000-4.300,4.300
,Ma-6014,Radar Móvil,1.170-30.800,30.800
,Ma-6015,Radar Móvil,1.070-11.000,11.000
,ME-1,Radar Fijo,20.442,Creciente
,ME-1,Radar Fijo,21.215,Decreciente
,Me-1,Radar Móvil,0.000-20.920,20.920
,ME-1,Radar Fijo,13.75,Decreciente
,ME-1,Radar Fijo,13.8,Creciente
,Me-1,Radar Móvil,29.100-42.680,42.680
,Me-12,Radar Móvil,0.780-11.000,11.000
,Me-7,Radar Móvil,14.900-22.450,22.450
,PM-801,Radar Móvil,1.250-4.820,4.820
,PM-803,Radar Móvil,0.000-20.610,20.610
,PM-804,Radar Móvil,0.000-5.150,5.150
,PM-804,Radar Móvil,5.150-11.240,11.240
,PM-810,Radar Móvil,0.000-5.740,5.740
,PM-810,Radar Móvil,7.410-19.560,19.560
,A-1,Radar Fijo,234.417,Creciente
,A-1,Radar Fijo,237.557,Decreciente
,A-1,Radar Fijo,194.27,Creciente
,BU-120,Radar Móvil,0.000-15.500,15.500
,BU-550,Radar Móvil,15.880-44.500,44.500
,BU-910,Radar Móvil,2.429-14.679,14.679
,BU-925,Radar Móvil,2.211-18.772,18.772
,CL-117,Radar Móvil,0.000-32.940,32.940
,CL-619,Radar Móvil,35.000-72.520,72.520
,CL-628,Radar Móvil,0.000-7.700,7.700
